,Date,Time,Away,Home,Away_Chance,Home_Chance,Away_Odds,Home_Odds,Away_Bet,Away_Winnings,Away_Projected_Winnings,Home_Bet,Home_Winnings,Home_Projected_Winnings,Decision,Bet,Winnings,Won,Total
0,4/15/2017,7:15 PM,Angels,Royals,53,47,-117,107,100,185,98,100,207,97,None,0,0,0,0
1,4/15/2017,4:05 PM,Astros,Athletics,54,46,-148,138,100,167,90,100,238,109,Home,100,238,0,0
2,4/15/2017,1:10 PM,Brewers,Reds,46,54,-102,-108,100,198,91,100,192,103,None,0,0,0,0
3,4/15/2017,1:05 PM,Cardinals,Yankees,46,54,-112,102,100,189,86,100,202,109,Home,100,202,1,202
4,4/15/2017,9:10 PM,Diamondbacks,Dodgers,37,63,155,-165,100,255,94,100,160,100,None,0,0,0,0
5,4/15/2017,7:10 PM,Mets,Marlins,50,50,-130,120,100,176,88,100,220,110,Home,100,220,1,220
6,4/15/2017,1:07 PM,Orioles,Blue Jays,44,56,129,-139,100,229,100,100,171,95,None,0,0,0,0
7,4/15/2017,7:10 PM,Padres,Braves,43,57,-105,-105,100,195,83,100,195,111,Home,100,195,1,195
8,4/15/2017,1:05 PM,Phillies,Nationals,37,63,135,-145,100,235,86,100,168,105,Home,100,168,0,0
9,4/15/2017,2:20 PM,Pirates,Cubs,31,69,220,-250,100,320,99,100,140,96,None,0,0,0,0
10,4/15/2017,9:10 PM,Rangers,Mariners,38,62,163,-176,100,263,99,100,156,96,None,0,0,0,0
11,4/15/2017,4:05 PM,Rays,Red Sox,40,60,200,-220,100,300,120,100,145,87,Away,100,300,0,0
12,4/15/2017,4:05 PM,Rockies,Giants,40,60,112,-122,100,212,84,100,181,108,Home,100,181,0,0
13,4/15/2017,4:10 PM,Tigers,Indians,44,56,140,-150,100,240,105,100,166,92,Away,100,240,0,0
14,4/15/2017,2:10 PM,White Sox,Twins,44,56,104,-114,100,204,89,100,187,104,None,0,0,0,0
0,4/16/2017,2:15 PM,Angels,Royals,47,53,-106,-104,100,194,91,100,196,103,None,0,0,0,0
1,4/16/2017,4:05 PM,Astros,Athletics,53,47,100,-110,100,200,106,100,190,89,Away,0,0,0,0
2,4/16/2017,1:10 PM,Brewers,Reds,48,52,-105,-105,100,195,93,100,195,101,None,0,0,0,0
3,4/16/2017,8:05 PM,Cardinals,Yankees,41,59,128,-138,100,228,93,100,172,101,None,0,0,0,0
4,4/16/2017,4:10 PM,Diamondbacks,Dodgers,35,65,165,-180,100,265,92,100,155,100,None,0,0,0,0
5,4/16/2017,1:10 PM,Mets,Marlins,47,53,-135,125,100,174,81,100,225,119,Home,100,225,1,225
6,4/16/2017,1:07 PM,Orioles,Blue Jays,46,54,-101,-109,100,199,91,100,191,103,None,0,0,0,0
7,4/16/2017,1:35 PM,Padres,Braves,42,58,113,-123,100,213,89,100,181,104,None,0,0,0,0
8,4/16/2017,1:35 PM,Phillies,Nationals,40,60,146,-156,100,246,98,100,164,98,None,0,0,0,0
9,4/16/2017,2:20 PM,Pirates,Cubs,36,64,160,-170,100,260,93,100,158,101,None,0,0,0,0
10,4/16/2017,4:10 PM,Rangers,Mariners,47,53,-110,100,100,190,89,100,200,106,Home,100,200,1,200
11,4/16/2017,1:35 PM,Rays,Red Sox,44,56,132,-142,100,232,102,100,170,95,None,0,0,0,0
12,4/16/2017,4:05 PM,Rockies,Giants,42,58,122,-132,100,222,93,100,175,101,None,0,0,0,0
13,4/16/2017,1:10 PM,Tigers,Indians,35,65,180,-200,100,280,98,100,150,97,None,0,0,0,0
14,4/16/2017,4:10 PM,White Sox,Twins,41,59,128,-138,100,228,93,100,172,101,None,0,0,0,0
0,4/17/2017,8:10 PM,Angels,Astros,40,60,132,-142,100,232,92,100,170,102,None,0,0,0,0
1,4/17/2017,8:05 PM,Brewers,Cubs,35,65,175,-190,100,275,96,100,152,98,None,0,0,0,0
2,4/17/2017,10:10 PM,Diamondbacks,Dodgers,41,59,148,-158,100,248,101,100,163,96,None,0,0,0,0
3,4/17/2017,8:10 PM,Indians,Twins,56,44,-150,140,100,166,92,100,240,105,Home,100,105,0,0
4,4/17/2017,10:10 PM,Marlins,Mariners,44,56,135,-145,100,235,103,100,168,94,None,0,0,0,0
5,4/17/2017,7:35 PM,Padres,Braves,45,55,137,-147,100,237,106,100,168,92,Away,100,106,0,0
6,4/17/2017,7:05 PM,Pirates,Cardinals,49,51,105,-115,100,205,100,100,186,94,None,0,0,0,0
7,4/17/2017,10:05 PM,Rangers,Athletics,47,53,120,-130,100,220,103,100,176,93,None,0,0,0,0
8,4/17/2017,7:05 PM,White Sox,Yankees,44,56,120,-130,100,220,96,100,176,98,None,0,0,0,0
0,4/18/2017,8:10 PM,Angels,Astros,41,59,0,0,100,0,0,100,0,0,None,0,0,0,0
1,4/18/2017,8:05 PM,Brewers,Cubs,41,59,155,-165,100,255,104,100,160,94,None,0,0,0,0
2,4/18/2017,10:10 PM,Diamondbacks,Padres,53,47,-125,115,100,180,95,100,215,101,None,0,0,0,0
3,4/18/2017,8:15 PM,Giants,Royals,48,52,110,-120,100,210,100,100,183,95,None,0,0,0,0
4,4/18/2017,8:10 PM,Indians,Twins,53,47,-115,105,100,186,98,100,205,96,None,0,0,0,0
5,4/18/2017,10:10 PM,Marlins,Mariners,46,54,-105,-105,100,195,89,100,195,105,Home,100,105,1,0
6,4/18/2017,7:35 PM,Nationals,Braves,61,39,-165,155,100,160,97,100,255,99,None,0,0,0,0
7,4/18/2017,7:10 PM,Orioles,Reds,54,46,-166,156,100,160,86,100,256,117,Home,100,117,1,217
8,4/18/2017,7:10 PM,Phillies,Mets,37,63,150,-160,100,250,92,100,162,102,None,0,0,0,0
9,4/18/2017,8:15 PM,Pirates,Cardinals,47,53,125,-135,100,225,105,100,174,92,Away,100,105,1,0
10,4/18/2017,10:05 PM,Rangers,Athletics,55,45,-120,110,100,183,100,100,210,94,None,0,0,0,0
11,4/18/2017,7:07 PM,Red Sox,Blue Jays,46,54,140,-150,100,240,110,100,166,89,Away,100,110,1,210
12,4/18/2017,10:10 PM,Rockies,Dodgers,37,63,152,-162,100,252,93,100,161,101,None,0,0,0,0
13,4/18/2017,7:10 PM,Tigers,Rays,53,47,102,-112,100,202,107,100,189,88,Away,100,107,1,0
14,4/18/2017,7:05 PM,White Sox,Yankees,45,55,163,-176,100,263,118,100,156,85,Away,100,118,1,218
